Week, Day, Concept, Task, Level, Confidence, Completed, Submitted Links
1, 1, Setting up: Connect, Connect on Slack: https://intechgration.slack.com, Beginner, 0-10, FALSE, Say hello to us on Slack!
1, 1, Setting up: WDX, Fork WDX repository, Beginner, 0-10, FALSE, Paste forked repo URL
1, 1, Setting up: Code editor, Install VSCode, -, 0-10, FALSE, (not required)
1, 1, Setting up: Code editor, Install VSCode WDX Extension Pack, -, 0-10, FALSE, (not required)
1, 1, Setting up: Node, Install Node.js (LTS), -, 0-10, FALSE, (not required)
1, 1, Setting up: Version Control, Install Git, -, 0-10, FALSE, (not required)
1, 1, Setting up: Productivity, Install Wikiwand Browser Extension: https://www.wikiwand.com/, -, 0-10, FALSE, (not required)
1, 2, -, -, -, 0-10, FALSE, (not required)
1, 3, -, -, -, 0-10, FALSE, (not required)
1, 4, -, -, -, 0-10, FALSE, (not required)
1, 5, -, -, -, 0-10, FALSE, (not required)
2, 1, Version Control: Git & GitHub, Watch "Git and GitHub for Beginners - Crash Cours", Beginner, 0-10, FALSE, (not required)
2, 1, Version Control: Git & GitHub, Sign up with GitHub, Beginner, 0-10, FALSE, Paste GitHub username
2, 1, Version Control: Git & GitHub, Setup SSH keys for GitHub, Beginner, 0-10, FALSE, (not required)
2, 1, Version Control: Git & GitHub, Create a (demo-repo) GitHub repository, Beginner, 0-10, FALSE, Paste GitHub repository URL
2, 1, Version Control: Git & GitHub, Create a profile README on GitHub following this guide: https://docs.github.com/en/account-and-profile/setting-up-and-managing-your-github-profile/customizing-your-profile/managing-your-profile-readme, Beginner, 0-10, FALSE, Paste GitHub readme URL e.g. https://github.com/kostasx/kostasx
2, 2, -, -, -, 0-10, FALSE, -
2, 3, -, -, -, 0-10, FALSE, -
2, 4, -, -, -, 0-10, FALSE, -
2, 5 ,-, -, -, 0-10, FALSE, -
3, 1, -, -, -, 0-10, FALSE, -
3, 2, -, -, -, 0-10, FALSE, -
3, 3, -, -, -, 0-10, FALSE, -
3, 4, -, -, -, 0-10, FALSE, -
3, 5, -, -, -, 0-10, FALSE, -
4, 1, -, -, -, 0-10, FALSE, -
4, 2, -, -, -, 0-10, FALSE, -
4, 3, -, -, -, 0-10, FALSE, -
4, 4, -, -, -, 0-10, FALSE, -
4, 5, -, -, -, 0-10, FALSE, -
5, 1, -, -, -, 0-10, FALSE, -
5, 2, -, -, -, 0-10, FALSE, -
5, 3, -, -, -, 0-10, FALSE, -
5, 4, -, -, -, 0-10, FALSE, -
5, 5, -, -, -, 0-10, FALSE, -
6, 1, -, -, -, 0-10, FALSE, -
6, 2, -, -, -, 0-10, FALSE, -
6, 3, -, -, -, 0-10, FALSE, -
6, 4, -, -, -, 0-10, FALSE, -
6, 5, -, -, -, 0-10, FALSE, -
7, 1, -, -, -, 0-10, FALSE, -
7, 2, -, -, -, 0-10, FALSE, -
7, 3, -, -, -, 0-10, FALSE, -
7, 4, -, -, -, 0-10, FALSE, -
7, 5, -, -, -, 0-10, FALSE, -
8, 1, -, -, -, 0-10, FALSE, -
8, 2, -, -, -, 0-10, FALSE, -
8, 3, -, -, -, 0-10, FALSE, -
8, 4, -, -, -, 0-10, FALSE, -
8, 5, -, -, -, 0-10, FALSE, -
9, 1, -, -, -, 0-10, FALSE, -
9, 2, -, -, -, 0-10, FALSE, -
9, 3, -, -, -, 0-10, FALSE, -
9, 4, -, -, -, 0-10, FALSE, -
9, 5, -, -, -, 0-10, FALSE, -
10, 1, -, -, -, 0-10, FALSE, -
10, 2, -, -, -, 0-10, FALSE, -
10, 3, -, -, -, 0-10, FALSE, -
10, 4, -, -, -, 0-10, FALSE, -
10, 5, -, -, -, 0-10, FALSE, -
11, 1, -, -, -, 0-10, FALSE, -
11, 2, -, -, -, 0-10, FALSE, -
11, 3, -, -, -, 0-10, FALSE, -
11, 4, -, -, -, 0-10, FALSE, -
11, 5, -, -, -, 0-10, FALSE, -
12, 1, -, -, -, 0-10, FALSE, -
12, 2, -, -, -, 0-10, FALSE, -
12, 3, -, -, -, 0-10, FALSE, -
12, 4, -, -, -, 0-10, FALSE, -
12, 5, -, -, -, 0-10, FALSE, -
