Week,Day,Concept,Task,Level,Confidence,Completed,Instructions
2,2,HTML,Active learning: Inspecting a simple example,Beginner,10,TRUE,https://github.com/Tugba-Yilmaz/WDX-180/tree/main/user/week02/exercises/day02
2,2,HTML,Active learning: Experiment with character encoding,Beginner,10,TRUE,https://github.com/Tugba-Yilmaz/WDX-180/tree/main/user/week02/exercises/day02
2,2,HTML,Active learning: The description's use in search engines,Beginner,10,TRUE,https://github.com/Tugba-Yilmaz/WDX-180/tree/main/user/week02/exercises/day02
2,2,HTML,Active learning: applying CSS and JavaScript to a page,Beginner,10,TRUE,https://github.com/Tugba-Yilmaz/WDX-180/tree/main/user/week02/exercises/day02
2,2,HTML,Active learning: Giving our content structure,Beginner,10,TRUE,https://github.com/Tugba-Yilmaz/WDX-180/tree/main/user/week02/exercises/day02
2,2,HTML,Active learning: Marking up an unordered list,Beginner,10,TRUE,https://github.com/Tugba-Yilmaz/WDX-180/tree/main/user/week02/exercises/day02
2,2,HTML,Active learning: Marking up an ordered list,Beginner,10,TRUE,https://github.com/Tugba-Yilmaz/WDX-180/tree/main/user/week02/exercises/day02
2,2,HTML,Active learning: Marking up our recipe page,Beginner,10,TRUE,https://github.com/Tugba-Yilmaz/WDX-180/tree/main/user/week02/exercises/day02
2,2,HTML,Test your skills: HTML text fundamentals (3x Tasks),Beginner,10,TRUE,https://github.com/Tugba-Yilmaz/WDX-180/tree/main/user/week02/exercises/day02
2,2,HTML,Active learning: creating your own example link,Beginner,10,TRUE,https://github.com/Tugba-Yilmaz/WDX-180/tree/main/user/week02/exercises/day02
2,2,HTML,Active learning: creating a navigation menu,Beginner,10,TRUE,https://github.com/Tugba-Yilmaz/WDX-180/tree/main/user/week02/exercises/day02
2,2,HTML,Test your skills: Creating hyperlinks (3x Tasks),Beginner,10,TRUE,https://github.com/Tugba-Yilmaz/WDX-180/tree/main/user/week02/exercises/day02
